Team,Opponent,Season,Round,Score,Player,Aces,Unforced Errors,Forced Errors,1st Serve In,1st Serve Out,Double Faults,Winners,Errors Forced,win?,Team Score,Opponent Score,votes,
Yellow,Pink,1,5,6-1,Ed Simpson,0,7,2,7,7,3,1,,TRUE,6,1,1,
Pink,Yellow,1,5,1-6,Declan Croucher,0,12,2,16,3,1,0,,FALSE,1,6,0,
Pink,Yellow,1,5,1-6,Shayl Inlander,0,9,5,6,2,1,3,,FALSE,1,6,0,
Black,Pink,1,6,4-6,Archie Littlejohn,0,6,6,11,4,1,8,,FALSE,4,6,1,
Black,Pink,1,6,4-6,Damon Maurice,0,5,3,6,6,0,2,,FALSE,4,6,0,
Pink,Black,1,6,6-4,Shayl Inlander,1,4,4,6,7,2,5,,TRUE,6,4,2,
Pink,Black,1,6,6-4,Declan Croucher,0,10,5,19,3,0,6,,TRUE,6,4,0,
Navy,Orange,1,6,4-6,Emerson Wise,0,6,6,7,15,3,5,,FALSE,4,6,1,
Navy,Orange,1,6,4-6,Jack Raines,0,6,8,6,3,0,1,,FALSE,4,6,0,
Orange,Navy,1,6,6-4,Luke Sharrock,0,10,2,4,6,1,5,,TRUE,6,4,2,
Orange,Navy,1,6,6-4,Ted Angel,0,11,0,4,7,3,5,,TRUE,6,4,0,
Light Blue,Yellow,1,6,2-6,Joel Trudgeon,0,22,1,8,7,2,1,,FALSE,2,6,0,
Light Blue,Yellow,1,6,2-6,Quinn Feikema,0,4,1,9,2,1,2,,FALSE,2,6,1,
Yellow,Light Blue,1,6,6-2,Ed Simpson,0,17,0,9,11,2,2,,TRUE,6,2,0,
Yellow,Light Blue,1,6,6-2,Jimmy Gorton,0,9,0,11,6,0,2,,TRUE,6,2,2,
Green,White,1,6,0-6,Lewis Mossman,1,6,2,5,7,0,1,,FALSE,0,6,0,
Green,White,1,6,0-6,Lachy Godden,0,8,4,7,1,0,2,,FALSE,0,6,0,
White,Green,1,6,6-0,Jonathan Kierce,1,1,0,6,4,0,2,,TRUE,6,0,2,
White,Green,1,6,6-0,Ethan Seamer,0,5,0,3,5,1,3,,TRUE,6,0,1,
Yellow,Green,1,7,4-6,Ed Simpson,0,12,7,5,17,3,4,,FALSE,4,6,0,
Yellow,Green,1,7,4-6,Quinn Feikema (Fill-in),0,5,2,8,2,0,1,,FALSE,4,6,0,
Green,Yellow,1,7,6-4,Lewis Mossman,0,4,2,4,8,4,5,,TRUE,6,4,2,
Green,Yellow,1,7,6-4,Will Mumme,0,6,5,8,14,3,1,,TRUE,6,4,1,
Orange,Pink,1,7,6-3,Ted Angel,0,11,1,,,1,3,,TRUE,6,3,0,
Orange,Pink,1,7,6-3,Lachie Jenkin,2,6,0,,,0,6,,TRUE,6,3,2,
Pink,Orange,1,7,3-6,Declan Croucher,0,8,0,,,1,2,,FALSE,3,6,0,
Pink,Orange,1,7,3-6,Shayl Inlander,0,9,2,,,3,4,,FALSE,3,6,1,
Black,Light Blue,1,7,6-3,Damon Maurice,0,1,5,8,3,0,2,,TRUE,6,3,1,
Black,Light Blue,1,7,6-3,Archie Littlejohn,0,5,3,11,2,0,9,,TRUE,6,3,2,
Light Blue,Black,1,7,3-6,Joel Trudgeon,0,5,5,12,4,1,2,,FALSE,3,6,0,
Light Blue,Black,1,7,3-6,Quinn Feikema,0,1,3,3,8,3,3,,FALSE,3,6,0,
White,Red,1,7,5-5,Jonathan Kierce,1,11,5,4,12,1,5,,TRUE,5,5,0,
White,Red,1,7,5-5,Ethan Seamer,1,5,4,10,8,3,6,,TRUE,5,5,1,
Red,White,1,7,5-5,Angus Hume,1,7,6,13,15,2,6,,FALSE,5,5,2,
Red,White,1,7,5-5,Shayl Inlander (Fill-in),1,6,1,7,10,1,2,,FALSE,5,5,0,
White,Yellow,1,8,6-2,Jonathan Kierce,0,5,1,6,8,1,2,,TRUE,6,2,2,
White,Yellow,1,8,6-2,Ethan Seamer,0,4,3,3,6,0,3,,TRUE,6,2,0,
Yellow,White,1,8,2-6,Jimmy Gorton,1,2,4,5,6,1,1,,FALSE,2,6,1,
Yellow,White,1,8,2-6,Ed Simpson,0,16,1,10,6,1,2,,FALSE,2,6,0,
Red,Black,1,8,5-7,Angus Hume,0,18,2,4,9,0,3,,FALSE,5,7,0,
Red,Black,1,8,5-7,Adam Dickson,1,7,3,12,12,1,12,,FALSE,5,7,2,
Black,Red,1,8,7-5,Archie Littlejohn,0,7,3,11,11,1,7,,TRUE,7,5,1,
